epoch,train_loss,val_loss,val_dice,val_iou
1,0.6586133718490601,0.7324631611506144,0.17420699199040732,0.09672340253988902
2,0.6003015458583831,0.6707766254742941,0.67061448097229,0.5091272095839182
3,0.5669361293315888,0.578859806060791,0.9030821720759074,0.8241346478462219
4,0.5417003571987152,0.5501876076062521,0.9556699395179749,0.9152049422264099
5,0.5232083797454834,0.5366277098655701,0.9149953722953796,0.8435540795326233
6,0.5069081544876098,0.5125003258387247,0.9120881160100301,0.8386220534642538
7,0.4911807388067245,0.49476219216982525,0.9280195633570353,0.8659365375836691
8,0.47619739174842834,0.4880387783050537,0.961249570051829,0.9255304336547852
9,0.4615652471780777,0.4688680072625478,0.9769370754559835,0.9549694259961446
10,0.44747152626514436,0.452149639527003,0.9793016910552979,0.9594855109850565
11,0.4334516942501068,0.4381091197331746,0.9778371453285217,0.9566854437192281
12,0.41951519846916197,0.4150363604227702,0.9811026056607565,0.9629493951797485
13,0.405831915140152,0.4068607489267985,0.9811775883038839,0.9630979696909586
14,0.3925591826438904,0.39467694362004596,0.9874673287073771,0.9752771655718485
15,0.37935055494308473,0.38376479347546893,0.9885566433270773,0.9774026075998942
16,0.3661799103021622,0.3678792615731557,0.9894137978553772,0.9790730277697245
17,0.35350007712841036,0.3585713903109233,0.9856863816579183,0.971823493639628
18,0.34058094024658203,0.34324536720911664,0.9908287723859152,0.981848955154419
19,0.32747594118118284,0.33385870854059857,0.9919425845146179,0.9840340813000997
20,0.3150185286998749,0.32540268699328107,0.9918803175290426,0.9839123090108236
21,0.3028764992952347,0.30814264218012494,0.9938843250274658,0.9878543217976888
22,0.29028003960847854,0.2984446585178375,0.9949731826782227,0.9900019963582357
23,0.2774960458278656,0.2831130822499593,0.9940406481424967,0.9881614446640015
24,0.26577592343091966,0.2811163663864136,0.9952239195505778,0.9904963970184326
25,0.25035022348165514,0.2839555044968923,0.9947228829065958,0.9895065824190775
